id,name,sort_name,type,gender,country,life_span_begin,life_span_end,disambiguation,score
fad46635-5d90-484e-bcf9-5a8e3c1f8830,Stephen Fry,"Fry, Stephen",Person,male,GB,1957-08-24,,"English comedian, actor, writer, presenter & activist",80
75167b8b-44e4-407b-9d35-effe87b223cf,Neil Young,"Young, Neil",Person,male,CA,1945-11-12,,"Canadian singer, songwriter & musician",79
be50643c-0377-4968-b48c-47e06b2e2a3b,Claude Debussy,"Debussy, Claude",Person,male,FR,1862-08-22,1918-03-25,French composer,79
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,Queen,Group,,GB,1970-06-27,,UK rock group,79
0e85eb79-1c05-44ba-827c-7b259a3d941a,Felix Mendelssohn,"Mendelssohn, Felix",Person,male,DE,1809-02-03,1847-11-04,composer,79
ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,"Beach Boys, The",Group,,US,1961,,American rock band,79
c278de2c-9696-4fdf-a919-0781cd945e2c,Игорь Фёдорович Стравинский,"Stravinsky, Igor Fyodorovitch",Person,male,RU,1882-06-17,1971-04-06,Russian composer,79
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,Radiohead,Group,,GB,1991,,,79
ba0d6274-db14-4ef5-b28d-657ebde1a396,The Smashing Pumpkins,"Smashing Pumpkins, The",Group,,US,1988,,,79
e1f1e33e-2e4c-4d43-b91b-7064068d3283,KISS,KISS,Group,,US,1973-01,2023-12-02,US rock band,79
8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,Depeche Mode,Group,,GB,1980-03,,,79
fbe054ec-a143-4101-9e9e-64abc5ff5ac9,Nat King Cole,"Cole, Nat King",Person,male,US,1919-03-17,1965-02-15,,79
c01557ad-d41e-4316-a285-605769e2ab3b,Duke Ellington and His Orchestra,"Ellington, Duke and His Orchestra",Orchestra,,US,1927,,,79
53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,John Williams,"Williams, John",Person,male,US,1932-02-08,,American score composer,79
561d854a-6a28-4aa7-8c99-323e6ce46c2a,Miles Davis,"Davis, Miles",Person,male,US,1926-05-26,1991-09-28,"jazz trumpeter, bandleader, songwriter",79
d68e2c4b-8411-4f80-8b55-6682ae70881d,8-Bit Arcade,8-Bit Arcade,Person,,AU,,,chiptune cover artist,79
44f85621-f8db-45dd-93de-e9f069d28d7d,Terry Pratchett,"Pratchett, Terry",Person,male,,1948-04-28,2015-03-12,,78
c296e10c-110a-4103-9e77-47bfebb7fb2e,Bob Marley & The Wailers,"Marley, Bob & The Wailers",Group,,JM,1970-12,1981-05-11,,78
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,"Swift, Taylor",Person,female,US,1989-12-13,,,78
44b16e44-da77-4580-b851-0d765904573e,Сергей Васильевич Рахманинов,"Rachmaninoff, Sergei Vasilievich",Person,male,RU,1873-04-01,1943-03-28,Russian composer,78
f731ccc4-e22a-43af-a747-64213329e088,[anonymous],[anonymous],Other,not applicable,XW,,,special purpose artist,78
8060e859-1f5d-4912-a998-9f7aacc0d448,Enid Blyton,"Blyton, Enid",Person,female,GB,1897-08-11,1968-11-28,,78
618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,"Clapton, Eric",Person,male,GB,1945-03-30,,,78
819eaeb2-8dd8-48a5-ad07-0bcd137985ef,Antonín Dvořák,"Dvořák, Antonín",Person,male,CZ,1841-09-08,1904-05-01,composer,78
0e43fe9d-c472-4b62-be9e-55f971a023e1,Сергей Сергеевич Прокофьев,"Prokofiev, Sergei Sergeyevich",Person,male,RU,1891-04-27,1953-03-05,Russian composer,78
8f831f50-e409-47c3-8598-71a61bc8cfb3,Georg Philipp Telemann,"Telemann, Georg Philipp",Person,male,DE,1681-03-14,1767-06-25,composer,78
5fde3528-8641-4578-a031-37748a7c20ca,sonnov,sonnov,Person,male,RU,,,Russian ambient / drone musician,78
92bb085a-2924-4479-b627-181a1835d2f5,植松伸夫,"Uematsu, Nobuo",Person,male,JP,1959-03-21,,"video game, film & anime composer known for Final Fantasy",78
2ce02909-598b-44ef-a456-151ba0a3bd70,Ray Charles,"Charles, Ray",Person,male,US,1930-09-23,2004-06-10,"soul musician, singer and songwriter",78
2437980f-513a-44fc-80f1-b90d9d7fcf8f,Bing Crosby,"Crosby, Bing",Person,male,US,1903-05-03,1977-10-14,,77
8d610e51-64b4-4654-b8df-064b0fb7a9d9,Gustav Mahler,"Mahler, Gustav",Person,male,AT,1860-07-07,1911-05-18,composer,77
b71fd9a0-6432-494c-9f01-14a716bdca2e,George R. R. Martin,"Martin, George R. R.",Person,male,US,1948-09-20,,,77
4cb43d82-824e-4034-b03d-1a98f36f6e16,Richard Strauss,"Strauss, Richard",Person,male,DE,1864-06-11,1949-09-08,German composer,77
db403e3d-4753-45d6-8fcb-94db03e882e1,Jerry Goldsmith,"Goldsmith, Jerry",Person,male,US,1929-02-10,2004-07-21,American score composer,77
e20747e7-55a4-452e-8766-7b985585082d,Frank Zappa,"Zappa, Frank",Person,male,US,1940-12-21,1993-12-04,"US musician, composer, activist & filmmaker",77
519dd32e-8f30-4380-8826-7aa99169e1bb,Дмитрий Дмитриевич Шостакович,"Shostakovich, Dmitri Dmitrievich",Person,male,RU,1906-09-25,1975-08-09,composer,77
a693df4a-8762-4a45-b7fd-6695b558385e,Giacomo Puccini,"Puccini, Giacomo",Person,male,IT,1858-12-22,1924-11-29,Italian composer,77
9be7f096-97ec-4615-8957-8d40b5dcbc41,[traditional],[traditional],Other,not applicable,XW,,,special purpose artist,77
0568c60f-9852-4708-82ab-1afb8bb1342f,Sir Arthur Conan Doyle,"Doyle, Arthur Conan, Sir",Person,male,GB,1859-05-22,1930-07-07,,77
c7356af9-9ea6-4a78-a55b-c73775716312,Charlie Parker,"Parker, Charlie",Person,male,US,1920-08-29,1955-03-12,"aka “Bird”, jazz alto saxophonist",77
9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,The Who,"Who, The",Group,,GB,1964-02,,,77
2cd475bb-1abd-40c4-9904-6d4b691c752c,Franz Liszt,"Liszt, Franz",Person,male,HU,1811-10-22,1886-07-31,"Hungarian composer, pianist and conductor",77
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,"John, Elton",Person,male,GB,1947-03-25,,"English singer, songwriter, pianist, and composer",77
b0122194-c49a-46a1-ade7-84d1d76bd8e9,John Lee Hooker,"Hooker, John Lee",Person,male,US,1917-08-22,2001-06-21,"US blues singer, songwriter & guitarist",77
6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,Maurice Ravel,"Ravel, Maurice",Person,male,FR,1875-03-07,1937-12-28,French composer,77
944e398b-4240-4d73-8c54-d4322dbc7ea5,Rufus Beck,"Beck, Rufus",Person,male,DE,1957-07-23,,actor,77
69ee3720-a7cb-4402-b48d-a02c366f2bcf,The Cure,"Cure, The",Group,,GB,1977,,,77
66c662b6-6e2f-4930-8610-912e24c63ed1,AC/DC,AC/DC,Group,,AU,1973-11,,Australian hard rock band,77
9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,Wilco,Wilco,Group,,US,1994,,American alternative rock band,77
79491354-3d83-40e3-9d8e-7592d58d790a,Deep Purple,Deep Purple,Group,,GB,1968,,,77
5fe3e1bf-ba2b-4cf6-9bf8-e6700b702b4d,William Dufris,"Dufris, William",Person,male,US,1958-02-01,2020-03-24,,76
8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,Genesis,Genesis,Group,,GB,1967,2022-03-26,English rock band,76
b59ac58d-036e-4bba-8112-c32a34c4575b,Jerry Lee Lewis,"Lewis, Jerry Lee",Person,male,US,1935-09-29,2022-10-28,"Rock & Roll pianist, nicknamed “The Killer”",76
650bf385-6f6d-4992-a3b9-779d144920a4,Django Reinhardt,"Reinhardt, Django",Person,male,FR,1910-01-23,1953-05-16,French jazz guitarist and composer,76
ea4dfa26-f633-4da6-a52a-f49ea4897b58,R.E.M.,R.E.M.,Group,,US,1980-04-05,2011-09-21,American rock band,76
1b85c622-6974-4031-bdf1-1c227b7b1c36,D. J. MacHale,D. J. MacHale,Person,male,US,1955-03-11,,,76
1932f5b6-0b7b-4050-b1df-833ca89e5f44,Marillion,Marillion,Group,,GB,1979,,British progressive rock band,76
4d5447d7-c61c-4120-ba1b-d7f471d385b9,John Lennon,"Lennon, John",Person,male,GB,1940-10-09,1980-12-08,The Beatles,76
fd14da1b-3c2d-4cc8-9ca6-fc8c62ce6988,Béla Bartók,"Bartók, Béla",Person,male,HU,1881-03-25,1945-09-26,composer,76
06fb1c8b-566e-4cb2-985b-b467c90781d4,Jimi Hendrix,"Hendrix, Jimi",Person,male,US,1942-11-27,1970-09-18,,76
477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df,Armin van Buuren,"Buuren, Armin van",Person,male,NL,1976-12-25,,,76
97f3efea-558f-4137-9e4c-8a2fcec3c2d4,J.R.R. Tolkien,"Tolkien, J.R.R.",Person,male,GB,1892-01-03,1973-09-02,,76
49ae5227-605a-47a8-9b8e-cd89bf01a97c,Benjamin Britten,"Britten, Benjamin",Person,male,GB,1913-11-22,1976-12-04,"English composer, conductor, and pianist",76
17b53d9f-5c63-4a09-a593-dde4608e0db9,The Kinks,"Kinks, The",Group,,GB,1964,1996,,76
691b0e9d-9e57-41cf-932d-a3d21b068e75,Jean Sibelius,"Sibelius, Jean",Person,male,FI,1865-12-08,1957-09-20,Finnish composer,76
0fcb6831-ff9a-47ff-a509-45f267aa8c21,コナミ矩形波倶楽部,Konami Kukeiha Club,Group,,JP,,,sound team,76
